date,steps,distance_miles,journey_id,character,segment,cumulative_miles,cumulative_steps,all_time_cumulative_miles,all_time_cumulative_steps
2024-07-14,25564,9.645787623372724,Mordor,Frodo,The Fellowship,748.6761019886349,1890514.0,748.676101988635,1890514
2024-07-15,19175,7.867400668901545,Mordor,Frodo,The Fellowship,756.5435026575365,1909689.0,756.5435026575365,1909689
2024-07-16,17512,7.313468918314208,Mordor,Frodo,The Fellowship,763.8569715758506,1927201.0,763.8569715758507,1927201
2024-07-17,16177,6.839597838675152,Mordor,Frodo,The Fellowship,770.6965694145258,1943378.0,770.6965694145258,1943378
2024-07-18,18000,7.589861033970276,Mordor,Frodo,The Fellowship,778.286430448496,1961378.0,778.286430448496,1961378
2024-07-19,18973,7.957642128577088,Mordor,Frodo,The Fellowship,786.2440725770731,1980351.0,786.2440725770731,1980351
2024-07-20,20242,8.502977165520624,Mordor,Frodo,The Fellowship,794.7470497425937,2000593.0,794.7470497425937,2000593
2024-07-21,20804,7.808477475779191,Mordor,Frodo,The Fellowship,802.555527218373,2021397.0,802.555527218373,2021397
2024-07-22,24340,10.207606109853364,Mordor,Frodo,The Fellowship,812.7631333282263,2045737.0,812.7631333282263,2045737
2024-07-23,21368,9.143241308231087,Mordor,Frodo,The Fellowship,821.9063746364574,2067105.0,821.9063746364574,2067105
2024-07-24,17379,7.409525883489297,Mordor,Frodo,Mines of Moria,829.3159005199467,2084484.0,829.3159005199467,2084484
2024-07-25,24212,10.258284060769114,Mordor,Frodo,Mines of Moria,839.5741845807158,2108696.0,839.5741845807158,2108696
2024-07-26,22585,9.591819197887569,Mordor,Frodo,Mines of Moria,849.1660037786033,2131281.0,849.1660037786035,2131281
2024-07-27,21632,8.981070747351602,Mordor,Frodo,Mines of Moria,858.147074525955,2152913.0,858.1470745259551,2152913
2024-07-28,24979,9.628148103286401,Mordor,Frodo,Mines of Moria,867.7752226292414,2177892.0,867.7752226292415,2177892
2024-07-29,4874,1.8688306197049958,,,,,,869.6440532489465,2182766
2024-07-30,5649,2.1916326110893847,,,,,,871.8356858600359,2188415
2024-07-31,10623,4.266284951538492,,,,,,876.1019708115745,2199038
2024-08-01,7627,2.879923323157566,,,,,,878.981894134732,2206665
2024-08-02,305,0.05051930808591023,,,,,,879.0324134428179,2206970
2024-08-03,3310,1.1815109125910566,,,,,,880.213924355409,2210280
2024-08-04,13536,4.702310315279762,,,,,,884.9162346706887,2223816
2024-08-05,6076,2.4354656128909964,,,,,,887.3517002835797,2229892
2024-08-06,6882,2.630503968086051,,,,,,889.9822042516657,2236774
2024-08-07,478,0.12256852798766968,,,,,,890.1047727796534,2237252
2024-08-08,12052,4.396091447879182,,,,,,894.5008642275326,2249304
2024-08-09,4775,1.5828881549668583,,,,,,896.0837523824995,2254079
2024-08-10,7635,2.6433128794111407,,,,,,898.7270652619106,2261714
2024-08-11,8448,2.9823195882128024,,,,,,901.7093848501235,2270162
2024-08-12,3873,1.515582076267744,,,,,,903.2249669263912,2274035
2024-08-13,2720,0.9007252883283687,,,,,,904.1256922147195,2276755
2024-08-14,3889,1.511378787148709,,,,,,905.6370710018682,2280644
2024-08-15,7443,2.8804122817357998,,,,,,908.517483283604,2288087
2024-08-16,17502,6.08223320073076,,,,,,914.5997164843347,2305589
2024-08-17,15788,6.039004520508174,,,,,,920.638721004843,2321377
2024-08-18,10794,3.637484845294902,,,,,,924.2762058501379,2332171
2024-08-19,8143,3.157348622122356,,,,,,927.4335544722603,2340314
2024-08-20,11581,4.773383618325376,,,,,,932.2069380905857,2351895
2024-08-21,7249,2.825156626863865,,,,,,935.0320947174496,2359144
2024-08-22,2693,0.8534977124777174,,,,,,935.8855924299273,2361837
2024-08-23,11250,4.19726728595203,,,,,,940.0828597158794,2373087
2024-08-24,18144,7.420338995592255,Mordor,Frodo,The Eye of Sauron,875.1955616248337,2196036.0,947.5031987114717,2391231
2024-08-25,22304,8.295156155791588,Mordor,Frodo,The Eye of Sauron,883.4907177806252,2218340.0,955.7983548672632,2413535
2024-08-26,26708,11.150496363843608,Mordor,Frodo,The Eye of Sauron,894.6412141444688,2245048.0,966.9488512311068,2440243
2024-08-27,31949,13.12845184747651,Mordor,Frodo,The Eye of Sauron,907.7696659919453,2276997.0,980.0773030785833,2472192
2024-08-28,33913,14.079274552848943,Mordor,Frodo,The Eye of Sauron,921.8489405447943,2310910.0,994.1565776314322,2506105
2024-08-29,17516,6.910935132383479,Mordor,Frodo,The Eye of Sauron,928.7598756771778,2328426.0,1001.0675127638157,2523621
2024-08-30,2888,1.0839995191747798,Mordor,Frodo,The Eye of Sauron,929.8438751963525,2331314.0,1002.1515122829904,2526509
2024-08-31,23876,9.083807330291584,Mordor,Frodo,The Eye of Sauron,938.9276825266442,2355190.0,1011.2353196132821,2550385
2024-09-01,31691,12.342591224545181,Mordor,Frodo,The Eye of Sauron,951.2702737511893,2386881.0,1023.5779108378273,2582076
2024-09-02,18043,7.205867173888961,Mordor,Frodo,The Eye of Sauron,958.4761409250783,2404924.0,1030.7837780117163,2600119
2024-09-03,16517,6.984310621860514,Mordor,Frodo,The Eye of Sauron,965.4604515469388,2421441.0,1037.7680886335768,2616636
2024-09-04,5228,2.0255078196791225,Mordor,Frodo,The Eye of Sauron,967.485959366618,2426669.0,1039.793596453256,2621864
2024-09-05,9760,4.041891666089613,Mordor,Frodo,The Eye of Sauron,971.5278510327075,2436429.0,1043.8354881193457,2631624
